Price,Close,High,Low,Open,Volume
Ticker,^OEX,^OEX,^OEX,^OEX,^OEX
Date,,,,,
2022-08-05,1893.6400146484375,1899.22998046875,1879.1700439453125,1882.43994140625,4085940000
2022-08-08,1888.72998046875,1914.2900390625,1882.949951171875,1898.0699462890625,4221090000
2022-08-09,1882.280029296875,1888.18994140625,1877.010009765625,1884.7900390625,3913090000
2022-08-10,1923.030029296875,1923.22998046875,1906.81005859375,1912.3699951171875,4546010000
2022-08-11,1918.47998046875,1942.6600341796875,1915.6700439453125,1930.949951171875,4630200000
2022-08-12,1952.3499755859375,1952.3499755859375,1923.300048828125,1927.6600341796875,3788010000
2022-08-15,1962.449951171875,1964.4200439453125,1943.02001953125,1948.06005859375,3696830000
2022-08-16,1966.75,1976.6199951171875,1953.6400146484375,1960.1700439453125,4329820000
2022-08-17,1953.3900146484375,1967.489990234375,1944.4300537109375,1954.6099853515625,3885030000
2022-08-18,1956.4200439453125,1960.8599853515625,1945.9599609375,1951.9100341796875,3340330000
2022-08-19,1930.510009765625,1947.4100341796875,1926.3499755859375,1947.4100341796875,3761340000
2022-08-22,1887.52001953125,1914.18994140625,1883.6700439453125,1914.18994140625,3907430000
2022-08-23,1882.9300537109375,1896.550048828125,1880.27001953125,1884.3699951171875,3823520000
2022-08-24,1885.9599609375,1894.22998046875,1877.469970703125,1880.6400146484375,3583630000
2022-08-25,1912.18994140625,1912.9300537109375,1887.8599853515625,1892.1600341796875,3566870000
2022-08-26,1846.1199951171875,1915.760009765625,1846.1199951171875,1911.1700439453125,3832750000
2022-08-29,1832.27001953125,1846.4200439453125,1825.56005859375,1834.8800048828125,3396510000
2022-08-30,1812.800048828125,1840.489990234375,1802.0,1838.3699951171875,3835860000
2022-08-31,1797.949951171875,1827.4300537109375,1797.68994140625,1821.3199462890625,4542490000
2022-09-01,1805.9000244140625,1807.800048828125,1776.27001953125,1789.97998046875,4152250000
2022-09-02,1783.9599609375,1829.1700439453125,1775.4000244140625,1818.550048828125,3665850000
2022-09-06,1775.1500244140625,1792.47998046875,1765.3900146484375,1786.760009765625,4127340000
2022-09-07,1804.0699462890625,1808.1700439453125,1773.969970703125,1776.02001953125,3890320000
2022-09-08,1813.1199951171875,1816.9000244140625,1787.22998046875,1794.6500244140625,3966850000
2022-09-09,1842.52001953125,1846.8199462890625,1820.699951171875,1820.699951171875,3901940000
2022-09-12,1864.75,1868.43994140625,1850.6199951171875,1850.6199951171875,3814200000
2022-09-13,1778.93994140625,1829.530029296875,1773.8599853515625,1829.530029296875,4224550000
2022-09-14,1788.6500244140625,1795.27001953125,1773.25,1783.760009765625,4293240000
2022-09-15,1766.800048828125,1793.300048828125,1760.199951171875,1781.1500244140625,4441830000
2022-09-16,1756.06005859375,1758.4599609375,1738.1099853515625,1754.5799560546875,7954650000
2022-09-19,1768.8199462890625,1769.0999755859375,1740.4100341796875,1745.739990234375,3766850000
2022-09-20,1752.2900390625,1762.760009765625,1739.1700439453125,1757.530029296875,4058050000
2022-09-21,1721.3900146484375,1775.27001953125,1721.1400146484375,1758.0400390625,4078330000
2022-09-22,1711.7900390625,1727.1600341796875,1705.5999755859375,1716.739990234375,4284600000
2022-09-23,1681.52001953125,1697.6500244140625,1661.3399658203125,1697.6500244140625,5144270000
2022-09-26,1667.9200439453125,1694.3699951171875,1663.5999755859375,1676.719970703125,4886140000
2022-09-27,1664.6199951171875,1697.77001953125,1653.6500244140625,1682.6400146484375,4577740000
2022-09-28,1694.1099853515625,1702.18994140625,1657.449951171875,1663.1199951171875,4684850000
2022-09-29,1655.25,1678.31005859375,1640.0899658203125,1678.31005859375,4681810000
2022-09-30,1625.760009765625,1667.5899658203125,1625.2900390625,1650.6400146484375,5645360000
2022-10-03,1663.530029296875,1672.3199462890625,1632.3599853515625,1634.719970703125,4806680000
2022-10-04,1713.050048828125,1713.8800048828125,1687.68994140625,1687.68994140625,5146580000
2022-10-05,1710.699951171875,1721.0,1681.47998046875,1695.449951171875,4293180000
2022-10-06,1694.27001953125,1718.0899658203125,1691.8299560546875,1705.3599853515625,4252100000
2022-10-07,1642.8900146484375,1674.3599853515625,1634.5999755859375,1674.3599853515625,4449660000
2022-10-10,1629.8900146484375,1648.739990234375,1618.1099853515625,1645.68994140625,3834320000
2022-10-11,1617.719970703125,1642.4000244140625,1608.739990234375,1621.219970703125,4759030000
2022-10-12,1615.0899658203125,1629.1199951171875,1612.18994140625,1618.8499755859375,4006830000
2022-10-13,1659.1700439453125,1665.719970703125,1576.760009765625,1587.199951171875,5021680000
2022-10-14,1622.25,1678.530029296875,1620.9200439453125,1668.9300537109375,4243030000
2022-10-17,1667.550048828125,1673.1400146484375,1649.0899658203125,1649.0899658203125,4352780000
2022-10-18,1684.8499755859375,1707.31005859375,1669.77001953125,1701.8499755859375,4483740000
2022-10-19,1675.7099609375,1690.7099609375,1662.699951171875,1677.1700439453125,4223800000
2022-10-20,1664.6199951171875,1695.22998046875,1660.02001953125,1671.0999755859375,4496620000
2022-10-21,1704.5999755859375,1707.1300048828125,1654.81005859375,1659.31005859375,5078020000
2022-10-24,1725.1199951171875,1731.68994140625,1697.5899658203125,1707.1300048828125,4747930000
2022-10-25,1750.81005859375,1752.9599609375,1725.8699951171875,1726.5400390625,4843120000
2022-10-26,1728.3199462890625,1755.56005859375,1724.0699462890625,1725.4599609375,4817310000
2022-10-27,1710.43994140625,1735.9300537109375,1708.8599853515625,1726.449951171875,4687320000
2022-10-28,1756.4599609375,1758.6300048828125,1709.22998046875,1709.22998046875,4459410000
2022-10-31,1740.510009765625,1749.6199951171875,1735.6099853515625,1747.06005859375,4820620000
2022-11-01,1728.72998046875,1759.760009765625,1723.6700439453125,1754.8900146484375,4481210000
2022-11-02,1685.1800537109375,1746.9200439453125,1684.6800537109375,1727.7900390625,4899000000
2022-11-03,1662.4000244140625,1677.510009765625,1657.4200439453125,1673.5699462890625,4625290000
2022-11-04,1684.8900146484375,1696.5899658203125,1655.5799560546875,1684.9200439453125,5400180000
2022-11-07,1702.510009765625,1706.1700439453125,1682.9200439453125,1688.8599853515625,4341620000
2022-11-08,1710.719970703125,1724.6400146484375,1691.5899658203125,1707.77001953125,4607640000
2022-11-09,1672.6400146484375,1705.010009765625,1670.6700439453125,1703.4200439453125,4645010000
2022-11-10,1767.8499755859375,1768.77001953125,1723.4200439453125,1726.8499755859375,5781260000
2022-11-11,1787.75,1791.2900390625,1760.739990234375,1770.0899658203125,5593310000
2022-11-14,1773.8800048828125,1795.969970703125,1773.3699951171875,1778.949951171875,4561930000
2022-11-15,1788.7099609375,1809.1700439453125,1771.050048828125,1799.1800537109375,5015310000
2022-11-16,1774.3900146484375,1785.4300537109375,1772.52001953125,1781.510009765625,4165320000
2022-11-17,1771.8900146484375,1776.550048828125,1753.3199462890625,1756.3499755859375,4051780000
2022-11-18,1777.0899658203125,1784.949951171875,1764.77001953125,1780.3199462890625,4037360000
2022-11-21,1766.6199951171875,1777.52001953125,1761.239990234375,1773.510009765625,3850690000
2022-11-22,1790.2099609375,1791.4200439453125,1767.77001953125,1773.1099853515625,3887990000
2022-11-23,1802.8699951171875,1805.989990234375,1788.5400390625,1789.3199462890625,3279720000
2022-11-25,1800.1800537109375,1804.510009765625,1798.280029296875,1799.6400146484375,1706460000
2022-11-28,1773.8499755859375,1795.3199462890625,1769.8599853515625,1790.5799560546875,3615430000
2022-11-29,1767.3299560546875,1777.530029296875,1757.8399658203125,1773.56005859375,3546040000
2022-11-30,1827.550048828125,1827.550048828125,1759.3199462890625,1767.2099609375,6579360000
2022-12-01,1824.18994140625,1834.4300537109375,1810.77001953125,1828.8599853515625,4527130000
2022-12-02,1821.2099609375,1824.5899658203125,1800.8499755859375,1806.530029296875,4012620000
2022-12-05,1789.969970703125,1815.06005859375,1783.050048828125,1811.050048828125,4280820000
2022-12-06,1760.239990234375,1791.219970703125,1750.489990234375,1788.5400390625,4368380000
2022-12-07,1755.27001953125,1765.4300537109375,1749.0,1755.9000244140625,4118050000
2022-12-08,1769.1800537109375,1773.199951171875,1753.6600341796875,1760.9100341796875,4006900000
2022-12-09,1758.31005859375,1778.6300048828125,1757.6300048828125,1764.949951171875,3888260000
2022-12-12,1783.1700439453125,1783.25,1759.5,1761.0400390625,3904130000
2022-12-13,1795.6300048828125,1834.8599853515625,1783.800048828125,1821.5799560546875,5079360000
2022-12-14,1785.1300048828125,1811.5999755859375,1770.2900390625,1792.989990234375,4472340000
2022-12-15,1738.1199951171875,1767.6500244140625,1729.68994140625,1767.6500244140625,4493900000
2022-12-16,1718.9200439453125,1736.9200439453125,1709.0999755859375,1736.9200439453125,7493660000
2022-12-19,1702.4000244140625,1720.1800537109375,1694.5699462890625,1720.030029296875,3969610000
2022-12-20,1703.489990234375,1711.31005859375,1690.9300537109375,1698.449951171875,3985370000
2022-12-21,1728.739990234375,1735.030029296875,1710.8399658203125,1710.8399658203125,3775200000
2022-12-22,1701.2099609375,1716.1800537109375,1675.7099609375,1716.1700439453125,3956950000
